3C	0	16	16	16
3C	16	0	16	16
3C	32	16	16	16
3C	48	0	16	16
3C	64	16	16	16
3C	80	0	16	16
3C	96	16	16	16
4C	0	0	16	16
4C	16	16	16	16
4C	32	0	16	16
4C	48	16	16	16
4C	64	0	16	16
4C	80	16	16	16
4C	96	0	16	16
13C	0	32	16	16
13C	16	32	16	16
13C	32	32	16	16
13C	48	32	16	16
13C	64	32	16	16
13C	80	32	16	16
13C	96	32	16	16
9C	80	48	16	16
9C	80	64	16	16
9C	80	80	16	16
9C	80	96	16	16
9C	80	112	16	16
9C	80	128	16	16
13C	64	128	16	16
13C	48	128	16	16
13C	32	128	16	16
13C	16	128	16	16
13C	0	128	16	16
13C	96	128	16	16
13C	112	128	16	16
13C	128	128	16	16
13C	144	128	16	16
13C	176	128	16	16
13C	112	32	16	16
13C	128	32	16	16
13C	144	32	16	16
13C	160	32	16	16
13C	176	32	16	16
9C	160	128	16	16
9C	160	112	16	16
31C	160	96	16	16
33C	176	96	16	16
32C	176	80	16	16
34C	160	80	16	16
31C	160	64	16	16
31C	128	64	16	16
33C	144	64	16	16
33C	176	64	16	16
32C	144	48	16	16
32C	176	48	16	16
34C	128	48	16	16
34C	160	48	16	16
3C	112	0	16	16
3C	128	16	16	16
3C	144	0	16	16
3C	160	16	16	16
3C	176	0	16	16
3C	192	16	16	16
3C	208	0	16	16
3C	224	16	16	16
4C	112	16	16	16
4C	128	0	16	16
4C	144	16	16	16
4C	160	0	16	16
4C	176	16	16	16
4C	192	0	16	16
4C	208	16	16	16
4C	224	0	16	16
4C	224	0	16	16
